Ward name,Old code,GSS_CODE,population_2015,percent_children_15_2015,percent_working_age_2015,percent_aged_65+_2015,mean_age_2013,median_age_2013,area_sq,pop_den_2013,percent_bame_2011,general_fertility_rate_2013,male_life_expect,female_life_expect,rate_ambulance_per_1000pp_ 2014,num_killed_seriously_injured_road_2014,employment_rate_2011,median_house_price_2014,num_propertoes_sold_2014,median_est_household_income_2013,percent_detached_2011,percent_semi_detached_2011,% terraced houses - 2011,percent_flat_2011,percent_household_owned_2011,percent_household_socialrented_2011,percent_household_privaterent_2011,percent_no_qualifications_2011,crime_rate_2014,violence_against_person_rate_2014,deliberate_fires_per_1000pp_2014,percent_area_openspace_2014,cars_per_household_2011,avg_public_transport_accessibility_score_2014,percent_travel_work_bike_2011
Hounslow - Syon,00ATGS,E05000364,14200,20.7,69.4,9.9,35.1,34,2.9,4862.1,34.2,70.6,77.2,78.9,161,1,73,365000,387,37040,2.5,13.7,25.3,58,43.8,27.4,23.8,16.4,82.2,30.7,0.5,42.5,0.9,3.6,4.4
Hounslow - Turnham Green,00ATGT,E05000365,11800,15.8,71,13.2,38.3,36,1.8,6583.3,23.2,61.4,81.7,85.6,153,5,77,634000,201,47080,3.1,11.8,21.7,63.4,49.4,14.7,34,9.9,95,18.4,0.2,7.4,0.8,4.4,5
Islington - Barnsbury,00AUFX,E05000366,12950,15,75.3,9.7,34.9,31,0.8,15937.5,28.9,44.3,76.2,81.8,144.3,9,68.1,715000,153,44970,1.2,2.9,15.4,80.5,31.7,38.5,27.3,16.3,131.4,30,0.1,11,0.5,5.7,9.7
Islington - Bunhill,00AUFY,E05000367,16700,13.1,80,7,32.5,29,1.1,14454.5,34.5,42,77.9,84.6,171.5,13,59.8,640000,196,39200,0.3,0.6,1.5,97.6,21.1,47.3,29.3,15.8,179.7,34.6,0.3,13.5,0.3,7.1,7.3
Islington - Caledonian,00AUFZ,E05000368,14950,14.8,76.7,8.5,34,30,1.1,13227.3,34.7,41.7,78.2,82.7,157.5,5,61.7,447500,142,35840,1.3,3.1,13.5,81.6,22.6,44.7,29.8,21,138.8,38.7,1.9,16.4,0.4,5.3,8.2
Islington - Canonbury,00AUGA,E05000369,12500,18.2,71.9,9.9,35.5,33,0.8,15437.5,28.2,50,78.9,86.2,111.2,8,69.2,550000,131,40590,1.2,5.6,10.6,82.5,27.8,47.2,22,19.2,80.2,24.2,0.2,14.4,0.4,6.5,9
Islington - Clerkenwell,00AUGB,E05000370,12350,11.7,80,8.3,34.8,31,0.9,13444.4,29.3,38.3,80.3,87.7,148.1,11,62.6,732500,142,43350,0.8,1,7.7,90.4,29,42.3,26.5,15.1,154.3,28.5,0.2,9.3,0.4,6.9,8.4
Islington - Finsbury Park,00AUGC,E05000371,15300,17.6,73.8,8.6,33.6,31,0.9,16555.6,42.9,51.1,75,81.1,190.7,4,65.4,410000,153,33620,1.5,2.3,13.5,82.6,22.6,43.4,31.9,20.6,161.3,47.1,0.1,15.9,0.3,6.6,8.2
Islington - Highbury East,00AUGD,E05000372,12150,18.4,71.8,9.8,35.5,33,1,11950,23.5,63.5,80.8,83.5,115.5,0,74.5,667500,194,47810,1.4,3.3,21.5,73.8,41.1,31.1,26.1,13.4,98.2,23.1,1.4,21.6,0.5,4.7,12.9
Islington - Highbury West,00AUGE,E05000373,16400,16.2,77.3,6.5,33.6,31,1.1,14363.6,32.1,48.5,78.8,82.7,114.5,4,74.5,500000,431,43800,1.1,2.6,17.5,78.9,29.4,33.5,33.2,12.6,88.5,27.3,0.1,10.6,0.4,5.7,10.2
